country_code,year,fiscal_balance_pct_gdp,gross_debt_pct_gdp
BRB,2010,-7.101162323079636,90.32856807479286
BRB,2011,-3.467832173587073,94.38876607241566
BRB,2012,-6.69452701038494,103.4768866140289
BRB,2013,-8.461456991163816,111.6834392148741
BRB,2014,-6.19574598361674,115.0766527317829
BRB,2015,-7.582248568462579,122.4755208525377
BRB,2016,-4.548936482974668,127.1425403034219
BRB,2017,-3.643881872330005,134.5872827225238
BRB,2018,-0.3211836421380452,107.1622395942987
BRB,2019,2.860391815329686,101.5545524939348
BRB,2020,-4.194204664703678,129.5598131518704
BRB,2021,-3.879529808269083,108.5635145466384
BRB,2022,-1.740134059088226,103.9675679684082
BRB,2023,-1.574027182922031,104.1223653007596
BRB,2024,-0.8364111967413013,98.9032691952035
BRB,2025,-0.3093858209221292,94.23938468867814
BRB,2026,-0.05722324024457432,89.51922919077919
BRN,2010,11.29579728132745,1.112907517438806
BRN,2011,21.53798361176893,2.128520040016177
BRN,2012,19.53746624381688,2.100636803845812
BRN,2013,10.42683036451209,2.208599287338016
BRN,2014,1.246769176285762,3.231227617690196
BRN,2015,-11.39295310211094,2.953086923635478
BRN,2016,-16.72848195259721,3.004878864074508
BRN,2017,-13.81836335759501,2.581850451149109
BRN,2018,-2.900523647752395,1.898838517362843
BRN,2019,-4.155363484066683,1.820953669246133
BRN,2020,-16.22702200943974,2.158238027755605
BRN,2021,-8.34042697205636,1.43448941846224
BRN,2022,-0.2513356349066789,1.325907958947281
BRN,2023,-8.619823925394543,1.672100087669342
BRN,2024,-12.88872120163778,1.568124086917791
BRN,2025,-13.40915063388209,1.544889208777355
BRN,2026,-10.69900994676902,1.48154278653221
BTN,2010,1.922749949068174,55.81267563551929
BTN,2011,-3.024263826793897,62.33129935588661
BTN,2012,-2.102156550506467,71.47130708034013
BTN,2013,-4.545432542091287,87.44077657103034
BTN,2014,2.456005598282467,89.78773102330052
BTN,2015,-0.4897938243601678,90.1573168049537
BTN,2016,-2.308853409653585,102.987339880522
BTN,2017,-4.491891905509595,104.0790221010889
BTN,2018,-1.518951800448174,103.3935415834341
BTN,2019,-1.485664254682049,100.7745732140463
BTN,2020,-1.806711058703064,116.0097561794832
BTN,2021,-5.760397511385214,124.4696920723765
BTN,2022,-6.951515260077157,119.8588498831653
BTN,2023,-4.731333023491997,117.179992302722
BTN,2024,-1.789266172300391,108.7173880313462
BTN,2025,-2.702088737306086,103.6115057400086
BTN,2026,-2.882308933453143,120.2818533688446
BWA,2010,-7.950504598795159,26.54740245161549
BWA,2011,-0.1158821053405819,27.89194131491163
BWA,2012,0.8868067074415833,26.44801047168092
BWA,2013,5.838841852176672,23.7735631668392
BWA,2014,3.896890653779343,23.93632701969093
BWA,2015,-4.821355264352417,24.453141944668
BWA,2016,0.7141006253854127,22.34075905780428
BWA,2017,-1.14318424830232,19.59055521350966
BWA,2018,-5.030773019964873,19.6423712084646
BWA,2019,-8.532760098555949,21.5108994943593
BWA,2020,-10.86928993691155,23.50814934201981
BWA,2021,-2.33339689880341,22.28152716154975
BWA,2022,0.03556103049599251,20.98920078253438
BWA,2023,-4.163234135011063,22.50539712559654
BWA,2024,-7.257679303938203,33.18189423212811
BWA,2025,-7.421730971275808,38.63996788931091
BWA,2026,-10.68818536787686,47.0148932564418
CAF,2010,-1.347113087742976,19.88338110399608
CAF,2011,-2.149098759130937,19.68629066171403
CAF,2012,-0.7761649173555532,31.53279477137647
CAF,2013,-2.303630247993981,51.78958752459049
CAF,2014,-3.016623017157933,57.52644623517774
CAF,2015,-0.5349974474274282,54.35701014409518
CAF,2016,1.182651343557075,49.28542627448578
CAF,2017,-0.9954935051685427,47.38140133796681
CAF,2018,-0.929751245356442,47.86821866690351
CAF,2019,1.327324706339535,44.88801875595649
CAF,2020,-3.231710881483328,42.36249219933259
CAF,2021,-5.711325691009612,46.27560057954928
CAF,2022,-5.12850178334605,48.9492857800831
CAF,2023,-3.415979934287653,55.62169835872579
CAF,2024,-5.030593369142683,59.88284158179923
CAF,2025,-5.493627049375546,61.81812052969459
CAF,2026,-4.98351845141647,63.9618976586646
CAN,2010,-4.737558581745544,83.97459136831591
CAN,2011,-3.308732553466252,84.28404177303737
CAN,2012,-2.524517007160132,87.0147838141507
CAN,2013,-1.494705997696409,87.70280620760606
CAN,2014,0.1748961601044264,85.75546218403146
CAN,2015,-0.06184559100219499,92.28266499735486
CAN,2016,-0.4531642257477654,92.47843162423754
CAN,2017,-0.1124429551709044,90.98863377838694
CAN,2018,0.3598913079942299,90.7558567323068
CAN,2019,-0.01728934980378749,90.11010290188769
CAN,2020,-10.94906749613943,118.0642252942657
CAN,2021,-3.057120029907509,112.6059125694352
CAN,2022,0.6166557094071942,103.540585561067
CAN,2023,-0.1624173201074733,105.0707523705813
CAN,2024,-2.121567251108314,110.0186549939184
CAN,2025,-1.765488451393803,113.5062656757511
CAN,2026,-2.671754413504487,110.7328642677631
CHE,2010,0.3477439811645021,40.69886449350376
CHE,2011,0.6728917047672797,41.23653606963333
CHE,2012,0.2312530520947981,41.85698677756873
